cluster,fh_score_mean,fh_score_median,fh_score_std,LJI_mean,LJI_median,LJI_std,fragility_mean,fragility_median,fragility_std
0,3.9705882352941178,4.0,1.7894708386427933,0.60355294117647063,0.5161,0.29724296694296898,10.1875,12.0,6.358393402949102
1,3.3854166666666665,3.0,1.9576353064112326,0.30686666666666657,0.25325,0.25213117434782684,9.804347826086957,10.0,5.9240360311658078
2,3.0694444444444446,2.75,1.8560818092260059,0.70321388888888869,0.87085,0.27484594350059205,9.368421052631579,10.0,5.3563101552778072
3,2.8269230769230771,2.75,1.6488924021433762,0.34654615384615389,0.26855,0.23097191384368648,13.653846153846153,14.0,5.5204514865529442
4,3.5076923076923077,3.0,2.1569153098455569,0.65891846153846145,0.7020000000000001,0.26245354344406574,4.614035087719298,3.0,4.5894070032634948
