,cluster,tot_terms,state,court,law,constitution,president,parliament,office,person,national,government,assembly,commission,members,public,provisions,member,council,house,election,made,service,subject,respect,functions,bill,union,time,chief,federal,republic,right,rights,people,laws,constitutional,social,citizens,general,ministers,political,economic,security,development,power,minister,authority,appointed,persons,case,speaker,governorgeneral,force,conditions,exercise,days,well,established,justice,art,provided,supreme,elected
0,0.0,3020.1176470588234,255.8235294117647,204.05882352941177,196.2941176470588,191.52941176470588,183.1764705882353,167.2941176470588,155.35294117647058,153.52941176470588,136.11764705882354,124.41176470588235,120.05882352941177,106.52941176470588,100.94117647058823,95.70588235294117,95.47058823529412,94.41176470588235,88.82352941176471,81.6470588235294,79.94117647058823,79.58823529411765,74.41176470588235,69.11764705882354,66.47058823529412,64.88235294117646,61.23529411764706,61.1764705882353,60.76470588235294,59.64705882352941,59.411764705882355,27.0,50.0,41.0,32.0,39.0,13.0,10.0,12.0,34.0,25.0,30.0,11.0,19.0,14.0,53.0,56.0,51.0,45.0,46.0,48.0,53.0,3.0,42.0,16.0,35.0,28.0,3.0,27.0,49.0,0.0,57.0,53.0,40.0
1,1.0,2050.5208333333335,114.41666666666667,37.875,123.97916666666667,59.625,70.95833333333333,17.0,30.041666666666668,17.0,91.91666666666667,44.6875,56.666666666666664,12.0,44.604166666666664,57.333333333333336,17.0,13.0,49.3125,19.791666666666668,12.0,6.0,12.0,11.0,12.0,13.0,6.0,9.0,9.0,3.0,22.375,74.70833333333333,50.395833333333336,43.5625,29.041666666666668,26.5,24.729166666666668,24.125,22.833333333333332,21.854166666666668,20.916666666666668,20.708333333333332,19.1875,19.1875,19.145833333333332,18.9375,17.0,15.0,7.0,15.0,12.0,4.0,0.0,11.0,12.0,18.0,12.0,13.0,15.0,13.0,1.0,14.0,18.0,15.0
2,2.0,2566.75,48.0,193.19444444444446,185.88888888888889,174.5,142.02777777777777,175.58333333333334,261.3611111111111,286.0833333333333,92.0,69.36111111111111,99.44444444444444,126.80555555555556,88.72222222222223,166.97222222222223,98.33333333333333,127.75,45.0,77.33333333333333,53.0,57.833333333333336,104.36111111111111,82.52777777777777,48.0,101.97222222222223,47.0,1.0,78.38888888888889,39.0,0.0,22.0,45.0,34.0,10.0,16.0,15.0,5.0,8.0,33.0,13.0,16.0,5.0,9.0,9.0,46.0,106.30555555555556,85.72222222222223,82.66666666666667,72.47222222222223,70.38888888888889,65.5,64.5,57.94444444444444,16.0,47.0,23.0,2.0,30.0,49.0,0.0,49.0,35.0,37.0
3,3.0,1875.1153846153845,63.0,50.53846153846154,114.65384615384616,41.19230769230769,93.3076923076923,17.0,12.0,13.0,106.15384615384616,45.0,67.6923076923077,5.0,42.80769230769231,54.42307692307692,15.0,8.0,50.65384615384615,0.0,11.0,4.0,4.0,5.0,15.0,21.26923076923077,13.0,7.0,19.653846153846153,0.0,0.0,85.46153846153847,38.11538461538461,33.30769230769231,11.0,24.23076923076923,42.53846153846154,21.346153846153847,11.0,17.0,16.0,23.5,15.0,11.0,11.0,23.46153846153846,19.96153846153846,10.0,7.0,13.0,28.076923076923077,0.0,0.0,9.0,25.076923076923077,24.0,21.807692307692307,20.73076923076923,20.192307692307693,18.76923076923077,0.0,13.0,13.0,16.0
4,4.0,2115.5384615384614,92.15384615384616,62.52307692307692,159.30769230769232,60.323076923076925,82.83076923076923,29.676923076923078,43.6,28.93846153846154,69.24615384615385,61.06153846153846,38.738461538461536,13.0,56.738461538461536,70.98461538461538,33.12307692307692,20.0,41.676923076923075,18.0,25.215384615384615,12.0,12.0,14.0,9.0,14.0,13.0,9.0,17.0,3.0,40.738461538461536,88.15384615384616,49.246153846153845,38.44615384615385,10.0,31.076923076923077,34.49230769230769,17.0,16.0,31.661538461538463,20.0,21.0,12.0,15.0,9.0,17.0,24.046153846153846,17.0,14.0,17.0,28.16923076923077,5.0,0.0,18.0,14.0,22.0,19.0,18.0,22.0,19.0,34.61538461538461,31.107692307692307,25.553846153846155,24.323076923076922
